2025-10-06 16:46:10.178 INFO: ===========VERIFYING SETTINGS===========
2025-10-06 16:46:10.181 INFO: MACE version: 0.3.14
2025-10-06 16:46:10.183 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-06 16:46:10.188 INFO: Using foundation model mace-mp-0 small as initial checkpoint.
2025-10-06 16:46:10.334 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-06 16:46:10.340 INFO: ===========LOADING INPUT DATA===========
2025-10-06 16:46:10.341 INFO: Using heads: ['Default']
2025-10-06 16:46:10.342 INFO: Using the key specifications to parse data:
2025-10-06 16:46:10.343 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-06 16:46:10.345 INFO: =============    Processing head Default     ===========
2025-10-06 16:46:10.628 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-06 16:46:10.632 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-06 16:46:10.720 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-06 16:46:10.722 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-06 16:46:11.334 INFO: Test set 1/1 [energy: 816, stress: 816, virials: 0, dipole components: 0, head: 816, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 816, charges: 0]
2025-10-06 16:46:11.340 INFO: Total Test set [energy: 816, stress: 816, virials: 0, dipole components: 0, head: 816, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 816, charges: 0]
2025-10-06 16:46:11.341 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 816],
2025-10-06 16:46:11.349 INFO: Atomic Numbers used: [8, 72]
2025-10-06 16:46:11.350 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-06 16:46:11.352 INFO: Atomic Energies used (z: eV) for head Default: {8: -443.8224565134432, 72: -1529.4984727695407}
2025-10-06 16:46:11.353 INFO: Processing datasets for head 'Default'
2025-10-06 16:46:13.387 INFO: Combining 1 list datasets for head 'Default'
2025-10-06 16:46:13.920 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-06 16:46:13.921 INFO: Combined validation datasets for Default
2025-10-06 16:46:13.923 INFO: Head 'Default' training dataset size: 361
2025-10-06 16:46:13.924 INFO: Computing average number of neighbors
2025-10-06 16:46:14.096 INFO: Average number of neighbors: 52.15321958594304
2025-10-06 16:46:14.098 INFO: During training the following quantities will be reported: energy, forces
2025-10-06 16:46:14.099 INFO: ===========MODEL DETAILS===========
2025-10-06 16:46:14.243 INFO: Loading FOUNDATION model
2025-10-06 16:46:14.246 INFO: Using filtered elements: [8, 72]
2025-10-06 16:46:14.247 INFO: Model configuration extracted from foundation model
2025-10-06 16:46:14.248 INFO: Using weighted loss function for fine-tuning
2025-10-06 16:46:14.249 INFO: Message passing with hidden irreps 128x0e)
2025-10-06 16:46:14.251 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-06 16:46:14.252 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-06 16:46:14.253 INFO: Distance transform for radial basis functions: None
2025-10-06 16:46:15.338 INFO: Total number of parameters: 362138
2025-10-06 16:46:15.339 INFO: 
2025-10-06 16:46:15.340 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-06 16:46:15.342 INFO: Using ADAM as parameter optimizer
2025-10-06 16:46:15.343 INFO: Batch size: 14
2025-10-06 16:46:15.344 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-06 16:46:15.345 INFO: Number of gradient updates: 12892
2025-10-06 16:46:15.346 INFO: Learning rate: 0.05, weight decay: 5e-07
2025-10-06 16:46:15.347 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-06 16:46:15.349 INFO: Converting model to CUEQ for accelerated training
2025-10-06 16:46:15.436 INFO: Creating new model with cuequivariance settings
2025-10-06 16:46:15.816 INFO: Stage Two (after 375 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-06 16:46:15.881 INFO: Using Weights and Biases for logging
2025-10-06 16:46:19.050 INFO: Using gradient clipping with tolerance=10.000
2025-10-06 16:46:19.051 INFO: 
2025-10-06 16:46:19.052 INFO: ===========TRAINING===========
2025-10-06 16:46:19.053 INFO: Started training, reporting errors on validation set
2025-10-06 16:46:19.054 INFO: Loss metrics on validation set
2025-10-06 16:46:19.438 INFO: Initial: head: Default, loss=12.37370970, RMSE_E_per_atom= 7683.88 meV, RMSE_F=  802.74 meV / A
2025-10-06 16:46:21.943 INFO: Epoch 0: head: Default, loss=5.06742303, RMSE_E_per_atom= 2055.18 meV, RMSE_F=  677.04 meV / A
2025-10-06 16:46:24.415 INFO: Epoch 1: head: Default, loss=8.84403021, RMSE_E_per_atom= 2043.12 meV, RMSE_F=  908.60 meV / A
2025-10-06 16:46:27.047 INFO: Epoch 2: head: Default, loss=3.10847236, RMSE_E_per_atom= 1485.07 meV, RMSE_F=  536.48 meV / A
2025-10-06 16:46:29.632 INFO: Epoch 3: head: Default, loss=2.06985889, RMSE_E_per_atom= 1135.31 meV, RMSE_F=  439.63 meV / A
2025-10-06 16:46:32.201 INFO: Epoch 4: head: Default, loss=1.85129921, RMSE_E_per_atom=  799.03 meV, RMSE_F=  421.80 meV / A
2025-10-06 16:46:34.799 INFO: Epoch 5: head: Default, loss=1.88088667, RMSE_E_per_atom=  756.21 meV, RMSE_F=  426.49 meV / A
2025-10-06 16:46:37.318 INFO: Epoch 6: head: Default, loss=1.51388852, RMSE_E_per_atom=  590.63 meV, RMSE_F=  382.67 meV / A
2025-10-06 16:46:39.918 INFO: Epoch 7: head: Default, loss=1.37746221, RMSE_E_per_atom=  483.15 meV, RMSE_F=  366.59 meV / A
2025-10-06 16:46:42.520 INFO: Epoch 8: head: Default, loss=1.24774706, RMSE_E_per_atom=  509.16 meV, RMSE_F=  348.07 meV / A
2025-10-06 16:46:45.090 INFO: Epoch 9: head: Default, loss=1.38011738, RMSE_E_per_atom=  454.96 meV, RMSE_F=  367.85 meV / A
2025-10-06 16:46:47.635 INFO: Epoch 10: head: Default, loss=1.34444832, RMSE_E_per_atom=  418.05 meV, RMSE_F=  362.97 meV / A
2025-10-06 16:46:50.037 INFO: Epoch 11: head: Default, loss=1.49796079, RMSE_E_per_atom=  555.33 meV, RMSE_F=  381.42 meV / A
2025-10-06 16:46:52.572 INFO: Epoch 12: head: Default, loss=1.32430977, RMSE_E_per_atom=  437.32 meV, RMSE_F=  360.02 meV / A
2025-10-06 16:46:55.082 INFO: Epoch 13: head: Default, loss=1.26250374, RMSE_E_per_atom=  420.49 meV, RMSE_F=  351.32 meV / A
2025-10-06 16:46:57.670 INFO: Epoch 14: head: Default, loss=1.17335119, RMSE_E_per_atom=  370.54 meV, RMSE_F=  338.80 meV / A
2025-10-06 16:47:00.235 INFO: Epoch 15: head: Default, loss=1.16422001, RMSE_E_per_atom=  367.90 meV, RMSE_F=  337.58 meV / A
2025-10-06 16:47:02.882 INFO: Epoch 16: head: Default, loss=1.13027849, RMSE_E_per_atom=  347.23 meV, RMSE_F=  332.77 meV / A
2025-10-06 16:47:05.549 INFO: Epoch 17: head: Default, loss=1.10588108, RMSE_E_per_atom=  316.41 meV, RMSE_F=  329.50 meV / A
2025-10-06 16:47:08.186 INFO: Epoch 18: head: Default, loss=1.07420929, RMSE_E_per_atom=  304.77 meV, RMSE_F=  324.68 meV / A
2025-10-06 16:47:10.787 INFO: Epoch 19: head: Default, loss=1.04142193, RMSE_E_per_atom=  290.71 meV, RMSE_F=  319.81 meV / A
2025-10-06 16:47:13.359 INFO: Epoch 20: head: Default, loss=1.01921414, RMSE_E_per_atom=  265.16 meV, RMSE_F=  316.37 meV / A
2025-10-06 16:47:15.878 INFO: Epoch 21: head: Default, loss=1.04028838, RMSE_E_per_atom=  209.03 meV, RMSE_F=  319.93 meV / A
2025-10-06 16:47:18.487 INFO: Epoch 22: head: Default, loss=0.99923105, RMSE_E_per_atom=  214.97 meV, RMSE_F=  313.44 meV / A
2025-10-06 16:47:21.055 INFO: Epoch 23: head: Default, loss=0.98700153, RMSE_E_per_atom=  254.78 meV, RMSE_F=  311.19 meV / A
2025-10-06 16:47:23.611 INFO: Epoch 24: head: Default, loss=0.96611472, RMSE_E_per_atom=  243.14 meV, RMSE_F=  307.91 meV / A
2025-10-06 16:47:26.157 INFO: Epoch 25: head: Default, loss=0.94983705, RMSE_E_per_atom=  248.79 meV, RMSE_F=  305.17 meV / A
2025-10-06 16:47:28.796 INFO: Epoch 26: head: Default, loss=0.91747375, RMSE_E_per_atom=  228.00 meV, RMSE_F=  299.93 meV / A
2025-10-06 16:47:31.417 INFO: Epoch 27: head: Default, loss=0.90815336, RMSE_E_per_atom=  211.37 meV, RMSE_F=  298.55 meV / A
2025-10-06 16:47:33.982 INFO: Epoch 28: head: Default, loss=0.88410807, RMSE_E_per_atom=  208.14 meV, RMSE_F=  294.49 meV / A
2025-10-06 16:47:36.548 INFO: Epoch 29: head: Default, loss=0.86702472, RMSE_E_per_atom=  194.88 meV, RMSE_F=  291.64 meV / A
2025-10-06 16:47:39.162 INFO: Epoch 30: head: Default, loss=0.85424293, RMSE_E_per_atom=  167.93 meV, RMSE_F=  289.52 meV / A
2025-10-06 16:47:41.657 INFO: Epoch 31: head: Default, loss=0.88063504, RMSE_E_per_atom=  135.99 meV, RMSE_F=  294.33 meV / A
2025-10-06 16:47:44.191 INFO: Epoch 32: head: Default, loss=0.85625160, RMSE_E_per_atom=  129.14 meV, RMSE_F=  290.18 meV / A
2025-10-06 16:47:46.674 INFO: Epoch 33: head: Default, loss=0.84494681, RMSE_E_per_atom=  138.36 meV, RMSE_F=  288.19 meV / A
2025-10-06 16:47:49.266 INFO: Epoch 34: head: Default, loss=0.82631660, RMSE_E_per_atom=  134.14 meV, RMSE_F=  284.98 meV / A
